indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
updates-1.com,domain,none,,"2022-10-14 21:08:30","2022-10-14 21:08:30",,https://pulsedive.com/indicator/?iid=38593538,,,,,
zlusruoxret.in,domain,high,,"2022-10-14 21:07:01","2022-10-14 21:07:01",,https://pulsedive.com/indicator/?iid=40001147,[privacy],[privacy],,[privacy],
get.adobe.com.session-f77b62f0c0afe085c5d355662a8f2fe7.intuit.securitycentral1.com,domain,none,,"2022-10-14 21:07:26","2022-10-14 21:07:26",,https://pulsedive.com/indicator/?iid=40001149,,,,,
intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001151,,,,,
securitycentral1.com,domain,none,,"2022-10-14 21:09:04","2022-10-14 21:09:03",,https://pulsedive.com/indicator/?iid=40001152,,,,,
session-f77b62f0c0afe085c5d355662a8f2fe7.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:07:23","2022-10-14 21:07:23",,https://pulsedive.com/indicator/?iid=40001153,,,,,
com.session-f77b62f0c0afe085c5d355662a8f2fe7.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:07:25","2022-10-14 21:07:25",,https://pulsedive.com/indicator/?iid=40001154,,,,,
adobe.com.session-f77b62f0c0afe085c5d355662a8f2fe7.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:07:26","2022-10-14 21:07:25",,https://pulsedive.com/indicator/?iid=40001155,,,,,
get.adobe.com.session-84507d4be48b4a0967e68060f77f49d8.intuit.security.updates-1.com,domain,none,,"2022-10-14 21:08:30","2022-10-14 21:08:30",,https://pulsedive.com/indicator/?iid=40001156,,,,,
get.adobe.com.session-9a2a30d79efd46cb5e06610d306a3b58.intuit.securitycentral1.com,domain,none,,"2022-10-14 21:08:26","2022-10-14 21:08:26",,https://pulsedive.com/indicator/?iid=40001157,,,,,
get.adobe.com.session-d2eec06373252d0e4066e87554c8e913.intuit.security.updates-1.com,domain,none,,"2022-10-14 21:08:33","2022-10-14 21:08:33",,https://pulsedive.com/indicator/?iid=40001158,,,,,
session-9a2a30d79efd46cb5e06610d306a3b58.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001159,,,,,
com.session-84507d4be48b4a0967e68060f77f49d8.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001161,,,,,
com.session-9a2a30d79efd46cb5e06610d306a3b58.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001162,,,,,
session-84507d4be48b4a0967e68060f77f49d8.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001163,,,,,
adobe.com.session-84507d4be48b4a0967e68060f77f49d8.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:22","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001164,,,,,
adobe.com.session-9a2a30d79efd46cb5e06610d306a3b58.intuit.securitycentral1.com,domain,unknown,,"2022-10-14 21:08:23","2022-10-14 21:08:22",,https://pulsedive.com/indicator/?iid=40001165,,,,,
security.updates-1.com,domain,unknown,,"2022-10-14 21:08:30","2022-10-14 21:08:30",,https://pulsedive.com/indicator/?iid=40001166,,,,,
intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:30","2022-10-14 21:08:30",,https://pulsedive.com/indicator/?iid=40001167,,,,,
adobe.com.session-d2eec06373252d0e4066e87554c8e913.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:31","2022-10-14 21:08:30",,https://pulsedive.com/indicator/?iid=40001168,,,,,
com.session-d2eec06373252d0e4066e87554c8e913.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:32","2022-10-14 21:08:32",,https://pulsedive.com/indicator/?iid=40001169,,,,,
session-d2eec06373252d0e4066e87554c8e913.intuit.security.updates-1.com,domain,unknown,,"2022-10-14 21:08:33","2022-10-14 21:08:32",,https://pulsedive.com/indicator/?iid=40001170,,,,,
get.adobe.com.session-5cdf6dcb7e44164904292eab52156d2c.intuit.security-center1.com,domain,none,,"2022-10-21 02:09:27","2022-10-21 02:09:27",,https://pulsedive.com/indicator/?iid=40229290,,,,,
security-center1.com,domain,unknown,,"2022-10-25 20:55:26","2022-10-25 20:55:26",,https://pulsedive.com/indicator/?iid=40229314,,,,,
intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:26","2022-10-25 20:55:25",,https://pulsedive.com/indicator/?iid=40229315,,,,,
session-5cdf6dcb7e44164904292eab52156d2c.intuit.security-center1.com,domain,unknown,,"2022-10-21 02:09:18","2022-10-21 02:09:18",,https://pulsedive.com/indicator/?iid=40229316,,,,,
com.session-5cdf6dcb7e44164904292eab52156d2c.intuit.security-center1.com,domain,unknown,,"2022-10-21 02:09:24","2022-10-21 02:09:23",,https://pulsedive.com/indicator/?iid=40229318,,,,,
adobe.com.session-5cdf6dcb7e44164904292eab52156d2c.intuit.security-center1.com,domain,unknown,,"2022-10-21 02:09:26","2022-10-21 02:09:26",,https://pulsedive.com/indicator/?iid=40229319,,,,,
www.mozilla.org.session-63c04703d5d61138f8e2166693c1c4c0.intuit.security-center1.com,domain,none,,"2022-10-25 20:55:17","2022-10-25 20:55:17",,https://pulsedive.com/indicator/?iid=40475930,,,,,
get.adobe.com.session-ed5fcf8d28965aff53700369c38feb9f.intuit.security-center1.com,domain,none,,"2022-10-25 20:55:20","2022-10-25 20:55:20",,https://pulsedive.com/indicator/?iid=40475931,,,,,
org.session-63c04703d5d61138f8e2166693c1c4c0.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:14","2022-10-25 20:55:14",,https://pulsedive.com/indicator/?iid=40475932,,,,,
session-63c04703d5d61138f8e2166693c1c4c0.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:16","2022-10-25 20:55:16",,https://pulsedive.com/indicator/?iid=40475933,,,,,
get.adobe.com.session-f111303ba9f5d65fd28931e5826dc233.intuit.security-center1.com,domain,none,,"2022-10-25 20:55:33","2022-10-25 20:55:33",,https://pulsedive.com/indicator/?iid=40475934,,,,,
mozilla.org.session-63c04703d5d61138f8e2166693c1c4c0.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:16","2022-10-25 20:55:16",,https://pulsedive.com/indicator/?iid=40475935,,,,,
session-ed5fcf8d28965aff53700369c38feb9f.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:17","2022-10-25 20:55:17",,https://pulsedive.com/indicator/?iid=40475937,,,,,
com.session-ed5fcf8d28965aff53700369c38feb9f.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:19","2022-10-25 20:55:19",,https://pulsedive.com/indicator/?iid=40475938,,,,,
mail.maxisurf.net,domain,none,,"2022-10-25 20:55:33","2022-10-25 20:55:33",,https://pulsedive.com/indicator/?iid=40475939,,,,,
adobe.com.session-ed5fcf8d28965aff53700369c38feb9f.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:20","2022-10-25 20:55:19",,https://pulsedive.com/indicator/?iid=40475940,,,,,
com.session-f111303ba9f5d65fd28931e5826dc233.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:26","2022-10-25 20:55:26",,https://pulsedive.com/indicator/?iid=40475941,,,,,
session-f111303ba9f5d65fd28931e5826dc233.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:26","2022-10-25 20:55:26",,https://pulsedive.com/indicator/?iid=40475942,,,,,
adobe.com.session-f111303ba9f5d65fd28931e5826dc233.intuit.security-center1.com,domain,unknown,,"2022-10-25 20:55:30","2022-10-25 20:55:30",,https://pulsedive.com/indicator/?iid=40475943,,,,,
maxisurf.net,domain,unknown,,"2022-10-25 20:55:30","2022-10-25 20:55:30",,https://pulsedive.com/indicator/?iid=40475944,,,,,
c60hs2sbcv40gsg4h2gg.akiaymoster1.com,domain,none,,"2022-10-28 22:01:51","2022-10-28 22:01:50",,https://pulsedive.com/indicator/?iid=40629019,,,,,
akiaymoster1.com,domain,none,,"2022-10-28 22:02:31","2022-10-28 22:02:31",,https://pulsedive.com/indicator/?iid=40629020,,,,,
